Team,Record,Total_Payroll_Millions,Wins,Win_Percentage,Efficiency
 MIL,97-65 ,137.61872,97,0.5987654320987654,0.7048459686298492
 PHI,96-66 ,293.240191,96,0.5925925925925926,0.3273766794129527
 NYY,94-68 ,304.091683,94,0.5802469135802469,0.3091172999953439
 TOR,94-68 ,255.230406,94,0.5802469135802469,0.3682946772415509
 LAD,93-69 ,350.024106,93,0.5740740740740741,0.2656959860930264
 CHC,92-70 ,214.020073,92,0.5679012345679012,0.4298662210062885
 SEA,90-72 ,165.596493,90,0.5555555555555556,0.5434897706438746
 SD,90-72 ,223.125239,90,0.5555555555555556,0.4033609124783952
 BOS,89-73 ,203.658855,89,0.5493827160493827,0.4370053047779337
 CLE,88-74 ,100.115946,88,0.5432098765432098,0.8789808568557101
 DET,87-75 ,157.542361,87,0.5370370370370371,0.5522324246492663
 HOU,87-75 ,232.140003,87,0.5370370370370371,0.3747738385270892
 NYM,83-79 ,342.053011,83,0.5123456790123457,0.24265244664079275
 CIN,83-79 ,119.036486,83,0.5123456790123457,0.6972652065686819
 KC,82-80 ,133.630058,82,0.5061728395061729,0.6136343965367433
 SF,81-81 ,178.562152,81,0.5,0.45362356519986385
 TEX,81-81 ,226.526491,81,0.5,0.3575740728707973
 ARI,80-82 ,177.424443,80,0.49382716049382713,0.45089615978109626
 MIA,79-83 ,67.794627,79,0.4876543209876543,1.1652840865987801
 STL,78-84 ,131.152698,78,0.48148148148148145,0.5947266140114023
 TB,77-85 ,88.629788,77,0.47530864197530864,0.8687824007883218
 ATH,76-86 ,78.384241,76,0.4691358024691358,0.9695826486346917
 ATL,76-86 ,220.223651,76,0.4691358024691358,0.3451037145869496
 BAL,75-87 ,158.571377,75,0.46296296296296297,0.47297312679576464
 LAA,72-90 ,208.420995,72,0.4444444444444444,0.34545464097798784
 PIT,71-91 ,84.423338,71,0.4382716049382716,0.8409996771271944
 MIN,70-92 ,129.650732,70,0.43209876543209874,0.5399121078622217
 WSH,66-96 ,109.465924,66,0.4074074074074074,0.6029273548177422
 CHW,60-102 ,79.960763,60,0.37037037037037035,0.7503680273786282
 COL,43-119 ,127.325786,43,0.2654320987654321,0.33771635228703795
